影像号,读者,split,n_roi,n_below,n_above,frac_below,frac_above,roi_min,roi_max
IMG-FD56119EA7,R1,B,1634,0,0,0.0,0.0,1.0883514881134033,3.2892065048217773
IMG-5B9E750116,R1,A,7901,0,0,0.0,0.0,0.29260846972465515,6.752190113067627
IMG-81E9925726,R1,A,7865,0,0,0.0,0.0,0.6896635293960571,7.34613037109375
IMG-FE253BFCC1,R1,A,27308,0,0,0.0,0.0,0.5167561769485474,6.38186502456665
IMG-7F272E52C4,R1,A,9025,0,0,0.0,0.0,0.8741502165794373,7.206103324890137
IMG-05082286D9,R1,B,32487,0,0,0.0,0.0,1.1402664184570312,5.626648902893066
IMG-380589DDAC,R1,A,5590,0,0,0.0,0.0,0.9129248857498169,3.6852056980133057
IMG-8EEA8E66A1,R1,A,5240,0,0,0.0,0.0,0.5083188414573669,4.117706775665283
IMG-2586B3625A,R1,A,5741,0,0,0.0,0.0,0.8773244619369507,6.873854160308838
IMG-B842AB8222,R1,A,1973,0,0,0.0,0.0,0.9254054427146912,5.336058616638184
IMG-03F1BA49E0,R1,A,14394,0,0,0.0,0.0,0.8360210061073303,8.89675235748291
IMG-2F73457616,R1,A,6836,0,0,0.0,0.0,0.6287227272987366,3.267072916030884
IMG-887B5BBEA4,R1,A,9742,0,0,0.0,0.0,0.7261596918106079,4.704797267913818
IMG-9E2C4ABE0B,R1,A,8856,0,0,0.0,0.0,0.7846376895904541,4.655971527099609
IMG-9E2C4ABE0B,R2,A,20993,0,0,0.0,0.0,0.4601282775402069,6.279998779296875
IMG-56F78D7F71,R1,A,67626,0,0,0.0,0.0,0.37039873003959656,10.313605308532715
IMG-CC74D73278,R1,B,1875,0,0,0.0,0.0,1.5239583253860474,3.248309850692749
IMG-AD2B6907E7,R1,A,7904,0,0,0.0,0.0,0.6434280872344971,4.670222759246826
IMG-FF74DF2CB0,R1,A,5334,0,0,0.0,0.0,0.8916745781898499,5.059481143951416
IMG-CA8DB0E356,R1,A,2943,0,0,0.0,0.0,0.9174221754074097,4.531949520111084
IMG-B620C26C3C,R1,B,1939,0,0,0.0,0.0,0.9409649968147278,3.244431495666504
IMG-D0FB6C7AE7,R1,A,4667,0,0,0.0,0.0,0.5118652582168579,3.7140445709228516
IMG-D0FB6C7AE7,R2,A,9579,0,0,0.0,0.0,0.4568658173084259,4.967684745788574
IMG-D9EB6D7E30,R1,B,12710,0,0,0.0,0.0,1.4366576671600342,5.042851448059082
IMG-21459DC175,R1,A,4999,0,0,0.0,0.0,1.117232322692871,6.112412929534912
IMG-924E797A9E,R1,A,8984,0,0,0.0,0.0,0.8331307768821716,6.270799160003662
IMG-A6F90B5698,R1,A,8354,0,0,0.0,0.0,0.923020601272583,8.697492599487305
IMG-089709848D,R1,B,11732,0,0,0.0,0.0,1.3942005634307861,4.213703632354736
IMG-3650048DDE,R1,A,989,0,0,0.0,0.0,1.1376862525939941,3.0525951385498047
IMG-E04D5E9519,R1,B,6635,0,0,0.0,0.0,1.2181519269943237,3.956449508666992
IMG-9FBC3B9E41,R1,B,2230,0,0,0.0,0.0,1.5280072689056396,4.198885440826416
IMG-37A61CD40F,R1,A,10533,0,0,0.0,0.0,0.7910094261169434,9.654202461242676
IMG-F9D06E12D1,R1,A,15764,0,0,0.0,0.0,0.6201770901679993,4.79250431060791
IMG-DC6849C376,R1,B,832,0,0,0.0,0.0,1.6545917987823486,4.307063579559326
IMG-7692AF5B6E,R1,A,3724,0,0,0.0,0.0,0.46630358695983887,5.270315170288086
IMG-00E0E335F8,R1,B,3040,0,0,0.0,0.0,0.7841127514839172,3.0591440200805664
IMG-185ACED11B,R1,A,4546,0,0,0.0,0.0,1.150791049003601,6.1999030113220215
IMG-03F39E1825,R1,A,7042,0,0,0.0,0.0,0.9474602937698364,4.576316833496094
IMG-E69BFF1B31,R1,B,11725,0,0,0.0,0.0,0.9025601148605347,4.239139080047607
IMG-E69BFF1B31,R2,B,17588,0,0,0.0,0.0,0.4020528197288513,3.862762451171875
IMG-38CE1E9C5E,R1,A,3301,0,0,0.0,0.0,1.336897850036621,5.164198398590088
IMG-731AEA47FE,R1,A,13306,0,0,0.0,0.0,0.5932281017303467,4.516185760498047
