影像号,读者,split,n_roi,n_below,n_above,frac_below,frac_above,roi_min,roi_max
IMG-FD56119EA7,R1,B,1634,0,0,0.0,0.0,-3.9205331802368164,3.3166909217834473
IMG-05082286D9,R1,B,32487,0,0,0.0,0.0,-4.219152927398682,3.837496280670166
IMG-380589DDAC,R1,A,5590,0,0,0.0,0.0,-3.3324761390686035,6.068310737609863
IMG-8EEA8E66A1,R1,A,5240,0,0,0.0,0.0,-5.214049816131592,5.325814247131348
IMG-5B9E750116,R1,A,7901,0,0,0.0,0.0,-2.6051719188690186,4.666513442993164
IMG-81E9925726,R1,A,7865,0,0,0.0,0.0,-2.4609804153442383,3.3494651317596436
IMG-FE253BFCC1,R1,A,27308,0,0,0.0,0.0,-2.8168647289276123,6.022648334503174
IMG-7F272E52C4,R1,A,9025,0,0,0.0,0.0,-2.7614896297454834,7.471426486968994
IMG-CC74D73278,R1,B,1875,0,0,0.0,0.0,-3.01379132270813,3.9399898052215576
IMG-B842AB8222,R1,A,1973,0,0,0.0,0.0,-3.0873560905456543,6.8598480224609375
IMG-03F1BA49E0,R1,A,14394,0,0,0.0,0.0,-3.4297659397125244,8.074634552001953
IMG-2F73457616,R1,A,6836,0,0,0.0,0.0,-3.228550434112549,4.560199737548828
IMG-887B5BBEA4,R1,A,9742,0,0,0.0,0.0,-2.8841326236724854,6.1085004806518555
IMG-AD2B6907E7,R1,A,7904,0,0,0.0,0.0,-3.0669631958007812,7.086148738861084
IMG-FF74DF2CB0,R1,A,5334,0,0,0.0,0.0,-3.461552381515503,5.603291988372803
IMG-CA8DB0E356,R1,A,2943,0,0,0.0,0.0,-3.038372039794922,4.299762725830078
IMG-2586B3625A,R1,A,5741,0,0,0.0,0.0,-3.305896043777466,5.628190517425537
IMG-9E2C4ABE0B,R1,A,8856,0,0,0.0,0.0,-3.3975830078125,6.239171504974365
IMG-9E2C4ABE0B,R2,A,20993,0,0,0.0,0.0,-2.687915086746216,6.646581172943115
IMG-56F78D7F71,R1,A,67626,0,0,0.0,0.0,-2.314075231552124,7.946897029876709
IMG-B620C26C3C,R1,B,1939,0,0,0.0,0.0,-3.19242262840271,5.981420040130615
IMG-D0FB6C7AE7,R1,A,4667,0,0,0.0,0.0,-2.2288012504577637,4.274500370025635
IMG-D0FB6C7AE7,R2,A,9579,0,0,0.0,0.0,-2.304215431213379,4.787837028503418
IMG-D9EB6D7E30,R1,B,12710,0,0,0.0,0.0,-4.326552867889404,6.914529323577881
IMG-21459DC175,R1,A,4999,0,0,0.0,0.0,-2.620831251144409,6.648804187774658
IMG-E04D5E9519,R1,B,6635,0,0,0.0,0.0,-3.067629814147949,4.040649890899658
IMG-9FBC3B9E41,R1,B,2230,0,0,0.0,0.0,-4.402267932891846,6.862437725067139
IMG-37A61CD40F,R1,A,10533,0,0,0.0,0.0,-2.1861367225646973,8.00324535369873
IMG-F9D06E12D1,R1,A,15764,0,0,0.0,0.0,-2.663461208343506,5.698094367980957
IMG-924E797A9E,R1,A,8984,0,0,0.0,0.0,-3.376488447189331,7.430511951446533
IMG-A6F90B5698,R1,A,8354,0,0,0.0,0.0,-2.9054627418518066,6.9735941886901855
IMG-089709848D,R1,B,11732,0,0,0.0,0.0,-4.320014476776123,4.625627040863037
IMG-3650048DDE,R1,A,989,0,0,0.0,0.0,-2.3741235733032227,2.7425785064697266
IMG-03F39E1825,R1,A,7042,0,0,0.0,0.0,-3.2313692569732666,4.583950996398926
IMG-E69BFF1B31,R1,B,11725,0,0,0.0,0.0,-3.8331611156463623,6.084689140319824
IMG-E69BFF1B31,R2,B,17588,0,0,0.0,0.0,-4.200380802154541,6.110879898071289
IMG-38CE1E9C5E,R1,A,3301,0,0,0.0,0.0,-3.118011474609375,5.299429416656494
IMG-DC6849C376,R1,B,832,0,0,0.0,0.0,-2.0759661197662354,7.281917572021484
IMG-7692AF5B6E,R1,A,3724,0,0,0.0,0.0,-2.644075870513916,5.05656099319458
IMG-00E0E335F8,R1,B,3040,0,0,0.0,0.0,-2.58603572845459,5.029984474182129
IMG-185ACED11B,R1,A,4546,0,0,0.0,0.0,-2.729642629623413,4.872257709503174
IMG-731AEA47FE,R1,A,13306,0,0,0.0,0.0,-3.3400418758392334,8.036572456359863
IMG-E26D72CC96,R1,A,4728,0,0,0.0,0.0,-3.1337568759918213,6.872795581817627
IMG-39120D1441,R1,B,3606,0,0,0.0,0.0,-3.714172601699829,6.4516801834106445
IMG-DCC2F206AC,R1,A,7048,0,0,0.0,0.0,-2.8207926750183105,4.009063720703125
IMG-4AC748A020,R1,B,5445,0,0,0.0,0.0,-4.21380615234375,4.9252824783325195
IMG-A3393E0C00,R1,A,4385,0,0,0.0,0.0,-2.014125108718872,5.545241832733154
IMG-D06C7EE47C,R1,A,12059,0,0,0.0,0.0,-3.0028953552246094,7.12127161026001
IMG-2760B2A8FA,R1,A,4839,0,0,0.0,0.0,-3.5336573123931885,4.038045406341553
IMG-E6E984C73C,R1,B,7453,0,0,0.0,0.0,-4.519323348999023,6.607045650482178
IMG-818E128307,R1,B,7552,0,0,0.0,0.0,-3.3268191814422607,5.0420918464660645
IMG-02B7360D27,R1,A,8396,0,0,0.0,0.0,-3.7130277156829834,6.270840644836426
IMG-C518AF9324,R1,A,15792,0,0,0.0,0.0,-2.940572738647461,5.862880706787109
IMG-577B8F64F1,R1,A,5698,0,0,0.0,0.0,-3.1378142833709717,6.699906349182129
IMG-6C8346139A,R1,A,5606,0,0,0.0,0.0,-2.7051970958709717,7.431041717529297
IMG-61AAFD85E8,R1,A,4358,0,0,0.0,0.0,-3.434863567352295,6.218633651733398
IMG-B03647841E,R1,A,2191,0,0,0.0,0.0,-2.7793824672698975,3.215937376022339
IMG-56DFF2D2FE,R1,A,47073,0,0,0.0,0.0,-3.4819998741149902,7.693543434143066
IMG-5E6C0EE889,R1,A,4451,0,0,0.0,0.0,-3.092958688735962,5.179068088531494
IMG-45EE2A9CDC,R1,A,9106,0,0,0.0,0.0,-2.612107038497925,4.90716552734375
IMG-F07AE3A14A,R1,A,14131,0,0,0.0,0.0,-3.2440531253814697,5.347518444061279
IMG-0CCEB31762,R1,A,13185,0,0,0.0,0.0,-3.5981199741363525,7.204858303070068
IMG-8605D71E24,R1,A,5504,0,0,0.0,0.0,-3.224703311920166,5.179441928863525
IMG-76EDC743AD,R1,A,7474,0,0,0.0,0.0,-2.803098440170288,4.2728118896484375
IMG-38B5B96114,R1,A,23753,0,0,0.0,0.0,-2.992151975631714,7.537722110748291
IMG-1815129EC4,R1,A,50058,0,0,0.0,0.0,-3.9809980392456055,9.189363479614258
IMG-1815129EC4,R2,A,49209,0,0,0.0,0.0,-4.012458801269531,10.551835060119629
IMG-85B5930876,R1,A,25159,0,0,0.0,0.0,-3.809389591217041,7.950605869293213
IMG-D5C387DB04,R1,A,527,0,0,0.0,0.0,-2.573859930038452,3.6445353031158447
IMG-13AB453ACC,R1,A,16001,0,0,0.0,0.0,-3.168368101119995,4.801690101623535
IMG-F990629A43,R1,A,7652,0,0,0.0,0.0,-2.757577896118164,9.054849624633789
IMG-A7DECE2A4F,R1,B,6065,1,0,0.00016488046166529267,0.0,-5.696705341339111,7.23618745803833
IMG-EE31B11EBE,R1,A,3976,0,0,0.0,0.0,-2.3578574657440186,6.256743907928467
IMG-94E4BDAA75,R1,A,13557,0,0,0.0,0.0,-3.7291765213012695,6.402440071105957
IMG-38EF930E76,R1,A,20494,0,0,0.0,0.0,-4.159135341644287,5.8369951248168945
IMG-41EAFCF85F,R1,A,6884,0,0,0.0,0.0,-2.6803221702575684,6.172563076019287
IMG-ABFF501689,R1,A,1031,0,0,0.0,0.0,-2.801180362701416,4.689517498016357
IMG-7CBC99386C,R1,A,8480,0,0,0.0,0.0,-3.2424464225769043,5.533541679382324
IMG-179056E0FE,R1,B,17984,0,0,0.0,0.0,-5.0803046226501465,6.732956886291504
IMG-4A4951ED11,R1,B,2348,0,0,0.0,0.0,-2.718475580215454,3.69441294670105
IMG-0E260E9467,R1,A,14936,0,0,0.0,0.0,-3.1901304721832275,6.726644992828369
IMG-2D81B46B15,R1,A,9926,0,0,0.0,0.0,-3.9581079483032227,7.053042888641357
IMG-9E4E3CF0DC,R1,A,8892,0,0,0.0,0.0,-2.865696668624878,5.605223655700684
IMG-D9B504042D,R1,A,12382,0,0,0.0,0.0,-2.5237581729888916,4.660994052886963
IMG-882D513D84,R1,B,17898,0,0,0.0,0.0,-2.8922321796417236,3.7251713275909424
IMG-6827311D79,R1,A,10012,0,0,0.0,0.0,-2.9677624702453613,3.521113872528076
IMG-BDD045A536,R1,A,22556,0,0,0.0,0.0,-4.162600994110107,6.718956470489502
IMG-C67D2F1ADF,R1,A,15950,0,0,0.0,0.0,-3.35274600982666,5.964472770690918
IMG-ECA2952C4C,R1,A,5611,0,0,0.0,0.0,-2.669496536254883,7.721554279327393
IMG-6B62EF437D,R1,B,4213,0,0,0.0,0.0,-3.7222626209259033,4.852956295013428
IMG-4285B9C1CD,R1,A,4763,0,0,0.0,0.0,-2.6626713275909424,8.888151168823242
IMG-AD73EFA971,R1,A,12690,0,0,0.0,0.0,-2.653036594390869,5.784672737121582
IMG-E025660C70,R1,A,4462,0,0,0.0,0.0,-2.8031680583953857,5.232369899749756
IMG-C7F57DC895,R1,B,57987,0,0,0.0,0.0,-3.9313042163848877,6.135743618011475
IMG-B63D1A35CF,R1,A,7533,0,0,0.0,0.0,-3.0576093196868896,4.773350715637207
IMG-A8BED95109,R1,B,4931,0,0,0.0,0.0,-3.38832688331604,4.581472396850586
IMG-AD73EFA971,R2,A,14036,0,0,0.0,0.0,-3.0466785430908203,11.297603607177734
IMG-2348AD09B4,R1,A,11200,0,0,0.0,0.0,-2.7951323986053467,7.229048728942871
IMG-FF80C5A277,R1,A,12620,0,0,0.0,0.0,-2.608462333679199,6.692190647125244
IMG-4ADDC9946B,R1,A,3435,0,0,0.0,0.0,-4.160397529602051,5.270557403564453
IMG-557CCA8640,R1,B,5018,0,0,0.0,0.0,-4.039628028869629,5.850277900695801
IMG-922C9D652E,R1,A,12158,0,0,0.0,0.0,-3.712813377380371,7.027810096740723
IMG-4C76CFDF5A,R1,A,4900,0,0,0.0,0.0,-3.1578047275543213,5.021935939788818
IMG-46D99E88E9,R1,B,6185,0,0,0.0,0.0,-3.770960807800293,5.912508964538574
IMG-3AA422094F,R1,A,4072,0,0,0.0,0.0,-3.0415351390838623,6.539612770080566
IMG-34BB6ABEC6,R1,B,3129,0,0,0.0,0.0,-3.182344913482666,4.2909135818481445
IMG-C75BD32FBE,R1,A,4525,0,0,0.0,0.0,-2.741149663925171,5.695879936218262
IMG-4971F5AC6D,R1,A,13063,0,0,0.0,0.0,-3.117041826248169,5.532839775085449
IMG-88A5AD1265,R1,B,5185,0,0,0.0,0.0,-3.095613956451416,3.3618407249450684
IMG-97E9F2C29B,R1,B,3042,0,0,0.0,0.0,-2.657092571258545,4.682709693908691
IMG-97E9F2C29B,R2,B,11839,0,0,0.0,0.0,-3.075093984603882,6.499473571777344
IMG-3277CEE26B,R1,A,3151,0,0,0.0,0.0,-2.9395787715911865,6.133073329925537
IMG-1583C2350D,R1,B,3693,0,0,0.0,0.0,-2.984778881072998,6.14975643157959
IMG-FCB482DFC1,R1,A,10365,0,0,0.0,0.0,-2.9023780822753906,6.592039108276367
IMG-0CBFC07908,R1,A,13671,0,0,0.0,0.0,-3.625413179397583,5.458899974822998
IMG-B98B3A15DF,R1,A,28323,0,0,0.0,0.0,-4.527536869049072,8.394598960876465
IMG-1EA2F09A23,R1,A,13220,0,0,0.0,0.0,-2.9702441692352295,6.406351089477539
IMG-0E703C00C4,R1,A,14341,0,0,0.0,0.0,-3.6746397018432617,7.834144115447998
IMG-2038F1FF32,R1,A,14581,0,0,0.0,0.0,-3.4691531658172607,5.536723613739014
IMG-D122DA15EE,R1,A,5937,0,0,0.0,0.0,-2.9847357273101807,5.220248699188232
IMG-5F709341D1,R1,B,6083,0,0,0.0,0.0,-3.153554677963257,7.832308292388916
IMG-79A4F0ADA9,R1,A,7152,0,0,0.0,0.0,-2.469419479370117,5.977004528045654
IMG-05B7E87122,R1,B,2905,0,0,0.0,0.0,-2.8717033863067627,6.454348564147949
IMG-F83C4C56BC,R1,B,1420,0,0,0.0,0.0,-3.2768054008483887,5.230203151702881
IMG-455A5A01E4,R1,A,6649,0,0,0.0,0.0,-3.196427822113037,6.8761372566223145
IMG-E488AF3FF6,R1,B,3719,0,0,0.0,0.0,-3.740415573120117,7.367496013641357
IMG-24923A3FA1,R1,A,3292,0,0,0.0,0.0,-3.0771484375,3.894871234893799
IMG-FFE4FA252C,R1,B,26393,0,0,0.0,0.0,-4.962073802947998,4.941534042358398
IMG-76AA075229,R1,A,13333,0,0,0.0,0.0,-3.318190097808838,6.198745250701904
IMG-55F9E5483B,R1,B,11815,0,0,0.0,0.0,-3.330470085144043,6.627652168273926
