影像号,读者,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass
IMG-9E2C4ABE0B,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},1534a44e4922ab2a5ec936b38fecaf360e75cb99,3D,"(0.9999999999999999, 0.9999999999999999, 2.0)","(64, 59, 32)",13.326544292902541,1.0,35.0,2f1218d7ea4de442116ac925fae59e18a95079ee,"(0.9999999999999999, 0.9999999999999999, 2.0)","(64, 59, 32)","(7, 13, 5, 46, 33, 25)",8856,1,"(29.447380307136406, 29.45099367660343, 17.774277326106596)","(-9.969889842362509, 33.53814862854272, 29.446457618141757)"
IMG-9E2C4ABE0B,R2,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},1818ff7f90eba980168cfe7eb03cdff32e72f3eb,3D,"(0.9999999999999999, 0.9999999999999999, 2.0)","(64, 59, 32)",14.522113347457626,1.0,38.0,ed7b6d7f4cc05dc52b470469bce1be4bdb2861b3,"(0.9999999999999999, 0.9999999999999999, 2.0)","(64, 59, 32)","(5, 5, 5, 54, 49, 25)",20993,1,"(30.519363597389606, 27.892869051588626, 15.7906445005478)","(-8.885755471503288, 33.08548862381426, 25.211383527261127)"
IMG-D0FB6C7AE7,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},ca9d1fa6e286f9099720d58180b2c1f7d620abfe,3D,"(1.0, 1.0, 2.0)","(52, 48, 26)",10.008305596646943,1.0,24.0,ccef32b4ebfd3a7c8b25e1e92ae4ecfd2cb05ad2,"(1.0, 1.0, 2.0)","(52, 48, 26)","(7, 6, 7, 36, 36, 13)",4667,1,"(25.682022712663382, 22.894578958645813, 12.808442254124705)","(3.071179428887582, 26.357215352373636, 7.735514827243705)"
IMG-D0FB6C7AE7,R2,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},9ba59bc6083fbdba12cffc22b44b87a7fe94ec89,3D,"(1.0, 1.0, 2.0)","(52, 48, 26)",12.186159393491124,1.0,30.0,87a04afa9ff65a4bd2ac192ebab4c91417998567,"(1.0, 1.0, 2.0)","(52, 48, 26)","(5, 5, 5, 42, 38, 17)",9579,1,"(24.49180499008247, 23.447645892055537, 13.60966697985176)","(1.8770876514320278, 27.751710865818907, 6.776412314489569)"
IMG-ECE86CBFCB,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},f45b41ecf3a784bf2004db2cada3ce52b2d590a0,3D,"(0.9999999999999999, 1.0, 2.0)","(59, 71, 30)",11.10352510543487,1.0,30.0,94ea6c38005d6865599aab40350708e3f777081d,"(0.9999999999999999, 1.0, 2.0)","(59, 71, 30)","(11, 11, 5, 34, 35, 19)",5636,1,"(29.741838183108587, 25.391589779985807, 13.308374733853798)","(-1.0748031513052076, 27.915924418287222, -33.78995026385387)"
IMG-ECE86CBFCB,R2,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},c70986cb24b74edb1c778f9aae584928ad0d7f47,3D,"(0.9999999999999999, 1.0, 2.0)","(59, 71, 30)",13.632370494151349,1.0,37.0,08614ff7c1909f2ba9f766d9e2eb378ae4547fa6,"(0.9999999999999999, 1.0, 2.0)","(59, 71, 30)","(5, 5, 5, 49, 61, 21)",17768,1,"(29.06995722647456, 31.39948221521837, 17.933475911751465)","(-1.7915058740225298, 30.793152936154783, -44.435158227480095)"
IMG-D31CF4ABF7,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},20569ff5c730521375c5ae5e9d20ee1de8c35c29,3D,"(0.9999999999999999, 1.0, 2.0)","(49, 41, 31)",16.079818237287046,3.0,35.0,de8c9cdd91cbf65483ef3716a2afb4c35690a1f0,"(0.9999999999999999, 1.0, 2.0)","(49, 41, 31)","(7, 7, 5, 36, 28, 21)",7429,1,"(25.90442859065823, 20.195719477722438, 14.174047651097052)","(-4.482697818837028, 38.54660602612764, -66.64992104044427)"
IMG-D31CF4ABF7,R2,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},0fa092ea443a11e8ce8893dea6478fdee3eef626,3D,"(0.9999999999999999, 1.0, 2.0)","(49, 41, 31)",15.468440405273045,3.0,34.0,c750c8cd1d04979b0d7bc03c7e00fff281c23a8f,"(0.9999999999999999, 1.0, 2.0)","(49, 41, 31)","(5, 5, 5, 39, 31, 19)",5997,2,"(25.41870935467734, 21.682841420710353, 13.391028847757212)","(-4.975785457929653, 39.05386234929472, -68.74741360018731)"
IMG-1815129EC4,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},27f53b855dba87817929addba82cb1938d9bbbd1,3D,"(1.0, 1.0, 2.0)","(80, 78, 34)",11.693231523378582,1.0,33.0,462ca9dbdc7871ee20fdbdcf486f51b28f9ce001,"(1.0, 1.0, 2.0)","(80, 78, 34)","(8, 6, 0, 66, 67, 33)",50058,1,"(43.278616804506775, 41.796536018218866, 12.98287985936314)","(-0.9608251743726157, 46.891064049301676, 4.380410829521523)"
IMG-1815129EC4,R2,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},e86245618da4868066e61a077ade5bc5e0b69b05,3D,"(1.0, 1.0, 2.0)","(80, 78, 34)",12.85937971342383,1.0,36.0,d9dd0485fac2568a5250e77fcf8d843f22fe7d2d,"(1.0, 1.0, 2.0)","(80, 78, 34)","(5, 5, 0, 70, 68, 33)",49209,1,"(42.88666707309638, 40.37932085594099, 11.911296714015728)","(-1.3297981840192676, 47.1790841378084, 1.8238134033077174)"
