影像号,读者,normalization,muscle_label,muscle_mean,muscle_voxels,eroded_voxels,erode_radius,muscle_cv,muscle_p10,muscle_p50,muscle_p90,grad,fallback
IMG-FD56119EA7,R1,zscore,,,,,,,,,,,False
IMG-9E2C4ABE0B,R1,zscore,,,,,,,,,,,False
IMG-9E2C4ABE0B,R2,zscore,,,,,,,,,,,False
IMG-2F73457616,R1,zscore,,,,,,,,,,,False
IMG-B620C26C3C,R1,zscore,,,,,,,,,,,False
IMG-D0FB6C7AE7,R1,zscore,,,,,,,,,,,False
IMG-D0FB6C7AE7,R2,zscore,,,,,,,,,,,False
IMG-21459DC175,R1,zscore,,,,,,,,,,,False
IMG-7692AF5B6E,R1,zscore,,,,,,,,,,,False
IMG-1815129EC4,R1,zscore,,,,,,,,,,,False
IMG-1815129EC4,R2,zscore,,,,,,,,,,,False
IMG-8605D71E24,R1,zscore,,,,,,,,,,,False
IMG-13AB453ACC,R1,zscore,,,,,,,,,,,False
IMG-6827311D79,R1,zscore,,,,,,,,,,,False
IMG-A8BED95109,R1,zscore,,,,,,,,,,,False
IMG-AD73EFA971,R1,zscore,,,,,,,,,,,False
IMG-AD73EFA971,R2,zscore,,,,,,,,,,,False
IMG-34BB6ABEC6,R1,zscore,,,,,,,,,,,False
IMG-C75BD32FBE,R1,zscore,,,,,,,,,,,False
IMG-88A5AD1265,R1,zscore,,,,,,,,,,,False
IMG-833E2B96C5,R1,zscore,,,,,,,,,,,False
IMG-0BF441CFFD,R1,zscore,,,,,,,,,,,False
IMG-B58B195A92,R1,zscore,,,,,,,,,,,False
IMG-D41184EA72,R1,zscore,,,,,,,,,,,False
IMG-902274DA71,R1,zscore,,,,,,,,,,,False
IMG-C494A4152C,R1,zscore,,,,,,,,,,,False
IMG-E0F62AB36F,R1,zscore,,,,,,,,,,,False
IMG-7CA9BEBE72,R1,zscore,,,,,,,,,,,False
IMG-ABBB6E83CB,R1,zscore,,,,,,,,,,,False
IMG-8DA78E815D,R1,zscore,,,,,,,,,,,False
IMG-343B9B81CF,R1,zscore,,,,,,,,,,,False
IMG-221E334705,R1,zscore,,,,,,,,,,,False
IMG-4058D9DB94,R1,zscore,,,,,,,,,,,False
IMG-A13984FE9F,R1,zscore,,,,,,,,,,,False
IMG-01DD783D86,R1,zscore,,,,,,,,,,,False
IMG-8A3B5398AB,R1,zscore,,,,,,,,,,,False
IMG-BA39BCD54C,R1,zscore,,,,,,,,,,,False
IMG-B658BE7023,R1,zscore,,,,,,,,,,,False
IMG-F48A5C5E70,R1,zscore,,,,,,,,,,,False
IMG-ECE86CBFCB,R1,zscore,,,,,,,,,,,False
IMG-ECE86CBFCB,R2,zscore,,,,,,,,,,,False
IMG-D31CF4ABF7,R1,zscore,,,,,,,,,,,False
IMG-D31CF4ABF7,R2,zscore,,,,,,,,,,,False
IMG-71847CEE34,R1,zscore,,,,,,,,,,,False
IMG-71847CEE34,R2,zscore,,,,,,,,,,,False
IMG-200CA22DBE,R1,zscore,,,,,,,,,,,False
IMG-B1DBEB52F4,R1,zscore,,,,,,,,,,,False
IMG-B1DBEB52F4,R2,zscore,,,,,,,,,,,False
IMG-825C59B3C8,R1,zscore,,,,,,,,,,,False
IMG-825C59B3C8,R2,zscore,,,,,,,,,,,False
IMG-43B8CB3C00,R1,zscore,,,,,,,,,,,False
IMG-72F57C8B9D,R1,zscore,,,,,,,,,,,False
IMG-72F57C8B9D,R2,zscore,,,,,,,,,,,False
IMG-F8825C15D4,R1,zscore,,,,,,,,,,,False
IMG-F8825C15D4,R2,zscore,,,,,,,,,,,False
IMG-DA4569F340,R1,zscore,,,,,,,,,,,False
IMG-DA4569F340,R2,zscore,,,,,,,,,,,False
IMG-12B96F8D2D,R1,zscore,,,,,,,,,,,False
IMG-8BF8DD5DE4,R1,zscore,,,,,,,,,,,False
IMG-8BF8DD5DE4,R2,zscore,,,,,,,,,,,False
IMG-16B3264BD9,R1,zscore,,,,,,,,,,,False
IMG-16B3264BD9,R2,zscore,,,,,,,,,,,False
IMG-D912BD7931,R1,zscore,,,,,,,,,,,False
IMG-34B5A93F0D,R1,zscore,,,,,,,,,,,False
IMG-34B5A93F0D,R2,zscore,,,,,,,,,,,False
IMG-893073F906,R1,zscore,,,,,,,,,,,False
IMG-893073F906,R2,zscore,,,,,,,,,,,False
IMG-EE9195B25E,R1,zscore,,,,,,,,,,,False
IMG-EE9195B25E,R2,zscore,,,,,,,,,,,False
IMG-73F9CFC758,R1,zscore,,,,,,,,,,,False
IMG-BC631D0348,R1,zscore,,,,,,,,,,,False
IMG-44D24E8682,R1,zscore,,,,,,,,,,,False
IMG-8F0C09D99C,R1,zscore,,,,,,,,,,,False
IMG-8F0C09D99C,R2,zscore,,,,,,,,,,,False
IMG-EDA063D47C,R1,zscore,,,,,,,,,,,False
IMG-EDA063D47C,R2,zscore,,,,,,,,,,,False
IMG-0BBC1DBA30,R1,zscore,,,,,,,,,,,False
IMG-AF5A3DA75D,R1,zscore,,,,,,,,,,,False
IMG-AF5A3DA75D,R2,zscore,,,,,,,,,,,False
IMG-7350051976,R1,zscore,,,,,,,,,,,False
IMG-7350051976,R2,zscore,,,,,,,,,,,False
IMG-4950E13031,R1,zscore,,,,,,,,,,,False
IMG-4950E13031,R2,zscore,,,,,,,,,,,False
IMG-182FA24923,R1,zscore,,,,,,,,,,,False
IMG-182FA24923,R2,zscore,,,,,,,,,,,False
